household_ref,region,age_band,device_type,segment
H0000,northeast,18-29,mobile,value
H0001,northeast,18-29,mobile,premium
H0002,northeast,18-29,mobile,mainstream
H0003,northeast,18-29,mobile,mainstream
H0004,northeast,18-29,mobile,premium
H0005,northeast,18-29,mobile,mainstream
H0006,northeast,18-29,mobile,value
H0007,northeast,18-29,mobile,premium
H0008,northeast,18-29,mobile,premium
H0009,northeast,18-29,desktop,premium
H0010,northeast,18-29,desktop,mainstream
H0011,northeast,18-29,desktop,value
H0012,northeast,18-29,desktop,premium
H0013,northeast,18-29,desktop,premium
H0014,northeast,18-29,desktop,mainstream
H0015,northeast,18-29,desktop,value
H0016,northeast,18-29,desktop,premium
H0017,northeast,18-29,desktop,mainstream
H0018,northeast,18-29,tablet,premium
H0019,northeast,18-29,tablet,premium
H0020,northeast,18-29,tablet,premium
H0021,northeast,18-29,tablet,mainstream
H0022,northeast,18-29,tablet,premium
H0023,northeast,18-29,tablet,premium
H0024,northeast,18-29,tablet,mainstream
H0025,northeast,18-29,tablet,value
H0026,northeast,18-29,tablet,premium
H0027,northeast,30-44,mobile,value
H0028,northeast,30-44,mobile,mainstream
H0029,northeast,30-44,mobile,premium
H0030,northeast,30-44,mobile,premium
H0031,northeast,30-44,mobile,mainstream
H0032,northeast,30-44,mobile,premium
H0033,northeast,30-44,mobile,mainstream
H0034,northeast,30-44,mobile,premium
H0035,northeast,30-44,mobile,premium
H0036,northeast,30-44,desktop,value
H0037,northeast,30-44,desktop,premium
H0038,northeast,30-44,desktop,value
H0039,northeast,30-44,desktop,mainstream
H0040,northeast,30-44,desktop,value
H0041,northeast,30-44,desktop,value
H0042,northeast,30-44,desktop,value
H0043,northeast,30-44,desktop,value
H0044,northeast,30-44,desktop,mainstream
H0045,northeast,30-44,tablet,mainstream
H0046,northeast,30-44,tablet,mainstream
H0047,northeast,30-44,tablet,value
H0048,northeast,30-44,tablet,mainstream
H0049,northeast,30-44,tablet,mainstream
H0050,northeast,30-44,tablet,value
H0051,northeast,30-44,tablet,mainstream
H0052,northeast,30-44,tablet,mainstream
H0053,northeast,30-44,tablet,premium
H0054,northeast,45-59,mobile,mainstream
H0055,northeast,45-59,mobile,value
H0056,northeast,45-59,mobile,premium
H0057,northeast,45-59,mobile,value
H0058,northeast,45-59,mobile,value
H0059,northeast,45-59,mobile,premium
H0060,northeast,45-59,mobile,mainstream
H0061,northeast,45-59,mobile,value
H0062,northeast,45-59,mobile,mainstream
H0063,northeast,45-59,desktop,mainstream
H0064,northeast,45-59,desktop,value
H0065,northeast,45-59,desktop,mainstream
H0066,northeast,45-59,desktop,mainstream
H0067,northeast,45-59,desktop,mainstream
H0068,northeast,45-59,desktop,premium
H0069,northeast,45-59,desktop,mainstream
H0070,northeast,45-59,desktop,value
H0071,northeast,45-59,desktop,mainstream
H0072,northeast,45-59,tablet,value
H0073,northeast,45-59,tablet,value
H0074,northeast,45-59,tablet,mainstream
H0075,northeast,45-59,tablet,mainstream
H0076,northeast,45-59,tablet,premium
H0077,northeast,45-59,tablet,premium
H0078,northeast,45-59,tablet,premium
H0079,northeast,45-59,tablet,premium
H0080,northeast,45-59,tablet,mainstream
H0081,northeast,60+,mobile,value
H0082,northeast,60+,mobile,premium
H0083,northeast,60+,mobile,value
H0084,northeast,60+,mobile,mainstream
H0085,northeast,60+,mobile,value
H0086,northeast,60+,mobile,value
H0087,northeast,60+,mobile,value
H0088,northeast,60+,mobile,premium
H0089,northeast,60+,mobile,mainstream
H0090,northeast,60+,desktop,mainstream
H0091,northeast,60+,desktop,mainstream
H0092,northeast,60+,desktop,mainstream
H0093,northeast,60+,desktop,mainstream
H0094,northeast,60+,desktop,mainstream
H0095,northeast,60+,desktop,premium
H0096,northeast,60+,desktop,premium
H0097,northeast,60+,desktop,premium
H0098,northeast,60+,desktop,value
H0099,northeast,60+,tablet,premium
H0100,northeast,60+,tablet,premium
H0101,northeast,60+,tablet,premium
H0102,northeast,60+,tablet,mainstream
H0103,northeast,60+,tablet,value
H0104,northeast,60+,tablet,mainstream
H0105,northeast,60+,tablet,mainstream
H0106,northeast,60+,tablet,mainstream
H0107,northeast,60+,tablet,value
H0108,midwest,18-29,mobile,value
H0109,midwest,18-29,mobile,premium
H0110,midwest,18-29,mobile,premium
H0111,midwest,18-29,mobile,value
H0112,midwest,18-29,mobile,value
H0113,midwest,18-29,mobile,premium
H0114,midwest,18-29,mobile,mainstream
H0115,midwest,18-29,mobile,value
H0116,midwest,18-29,mobile,premium
H0117,midwest,18-29,desktop,value
H0118,midwest,18-29,desktop,value
H0119,midwest,18-29,desktop,value
H0120,midwest,18-29,desktop,premium
H0121,midwest,18-29,desktop,mainstream
H0122,midwest,18-29,desktop,premium
H0123,midwest,18-29,desktop,premium
H0124,midwest,18-29,desktop,premium
H0125,midwest,18-29,desktop,value
H0126,midwest,18-29,tablet,premium
H0127,midwest,18-29,tablet,value
H0128,midwest,18-29,tablet,premium
H0129,midwest,18-29,tablet,value
H0130,midwest,18-29,tablet,premium
H0131,midwest,18-29,tablet,value
H0132,midwest,18-29,tablet,mainstream
H0133,midwest,18-29,tablet,premium
H0134,midwest,18-29,tablet,mainstream
H0135,midwest,30-44,mobile,premium
H0136,midwest,30-44,mobile,premium
H0137,midwest,30-44,mobile,mainstream
H0138,midwest,30-44,mobile,premium
H0139,midwest,30-44,mobile,value
H0140,midwest,30-44,mobile,mainstream
H0141,midwest,30-44,mobile,value
H0142,midwest,30-44,mobile,value
H0143,midwest,30-44,mobile,mainstream
H0144,midwest,30-44,desktop,mainstream
H0145,midwest,30-44,desktop,mainstream
H0146,midwest,30-44,desktop,mainstream
H0147,midwest,30-44,desktop,value
H0148,midwest,30-44,desktop,mainstream
H0149,midwest,30-44,desktop,value
H0150,midwest,30-44,desktop,mainstream
H0151,midwest,30-44,desktop,value
H0152,midwest,30-44,desktop,value
H0153,midwest,30-44,tablet,premium
H0154,midwest,30-44,tablet,premium
H0155,midwest,30-44,tablet,mainstream
H0156,midwest,30-44,tablet,mainstream
H0157,midwest,30-44,tablet,mainstream
H0158,midwest,30-44,tablet,mainstream
H0159,midwest,30-44,tablet,premium
H0160,midwest,30-44,tablet,premium
H0161,midwest,30-44,tablet,value
H0162,midwest,45-59,mobile,value
H0163,midwest,45-59,mobile,value
H0164,midwest,45-59,mobile,premium
H0165,midwest,45-59,mobile,value
H0166,midwest,45-59,mobile,mainstream
H0167,midwest,45-59,mobile,value
H0168,midwest,45-59,mobile,value
H0169,midwest,45-59,mobile,mainstream
H0170,midwest,45-59,mobile,value
H0171,midwest,45-59,desktop,mainstream
H0172,midwest,45-59,desktop,value
H0173,midwest,45-59,desktop,premium
H0174,midwest,45-59,desktop,value
H0175,midwest,45-59,desktop,value
H0176,midwest,45-59,desktop,premium
H0177,midwest,45-59,desktop,premium
H0178,midwest,45-59,desktop,mainstream
H0179,midwest,45-59,desktop,value
H0180,midwest,45-59,tablet,premium
H0181,midwest,45-59,tablet,value
H0182,midwest,45-59,tablet,mainstream
H0183,midwest,45-59,tablet,value
H0184,midwest,45-59,tablet,premium
H0185,midwest,45-59,tablet,mainstream
H0186,midwest,45-59,tablet,mainstream
H0187,midwest,45-59,tablet,value
H0188,midwest,45-59,tablet,value
H0189,midwest,60+,mobile,value
H0190,midwest,60+,mobile,mainstream
H0191,midwest,60+,mobile,premium
H0192,midwest,60+,mobile,mainstream
H0193,midwest,60+,mobile,mainstream
H0194,midwest,60+,mobile,mainstream
H0195,midwest,60+,mobile,value
H0196,midwest,60+,mobile,premium
H0197,midwest,60+,mobile,value
H0198,midwest,60+,desktop,mainstream
H0199,midwest,60+,desktop,value
H0200,midwest,60+,desktop,premium
H0201,midwest,60+,desktop,value
H0202,midwest,60+,desktop,value
H0203,midwest,60+,desktop,premium
H0204,midwest,60+,desktop,mainstream
H0205,midwest,60+,desktop,premium
H0206,midwest,60+,desktop,premium
H0207,midwest,60+,tablet,premium
H0208,midwest,60+,tablet,value
H0209,midwest,60+,tablet,premium
H0210,midwest,60+,tablet,mainstream
H0211,midwest,60+,tablet,premium
H0212,midwest,60+,tablet,premium
H0213,midwest,60+,tablet,mainstream
H0214,midwest,60+,tablet,value
H0215,midwest,60+,tablet,mainstream
H0216,south,18-29,mobile,premium
H0217,south,18-29,mobile,value
H0218,south,18-29,mobile,premium
H0219,south,18-29,mobile,premium
H0220,south,18-29,mobile,premium
H0221,south,18-29,mobile,value
H0222,south,18-29,mobile,value
H0223,south,18-29,mobile,mainstream
H0224,south,18-29,mobile,value
H0225,south,18-29,desktop,mainstream
H0226,south,18-29,desktop,mainstream
H0227,south,18-29,desktop,premium
H0228,south,18-29,desktop,mainstream
H0229,south,18-29,desktop,value
H0230,south,18-29,desktop,mainstream
H0231,south,18-29,desktop,mainstream
H0232,south,18-29,desktop,value
H0233,south,18-29,desktop,value
H0234,south,18-29,tablet,mainstream
H0235,south,18-29,tablet,mainstream
H0236,south,18-29,tablet,mainstream
H0237,south,18-29,tablet,value
H0238,south,18-29,tablet,premium
H0239,south,18-29,tablet,mainstream
H0240,south,18-29,tablet,value
H0241,south,18-29,tablet,mainstream
H0242,south,18-29,tablet,mainstream
H0243,south,30-44,mobile,value
H0244,south,30-44,mobile,premium
H0245,south,30-44,mobile,premium
H0246,south,30-44,mobile,mainstream
H0247,south,30-44,mobile,premium
H0248,south,30-44,mobile,premium
H0249,south,30-44,mobile,value
H0250,south,30-44,mobile,premium
H0251,south,30-44,mobile,premium
H0252,south,30-44,desktop,premium
H0253,south,30-44,desktop,value
H0254,south,30-44,desktop,value
H0255,south,30-44,desktop,premium
H0256,south,30-44,desktop,value
H0257,south,30-44,desktop,premium
H0258,south,30-44,desktop,premium
H0259,south,30-44,desktop,mainstream
H0260,south,30-44,desktop,mainstream
H0261,south,30-44,tablet,value
H0262,south,30-44,tablet,value
H0263,south,30-44,tablet,premium
H0264,south,30-44,tablet,mainstream
H0265,south,30-44,tablet,value
H0266,south,30-44,tablet,premium
H0267,south,30-44,tablet,premium
H0268,south,30-44,tablet,premium
H0269,south,30-44,tablet,value
H0270,south,45-59,mobile,mainstream
H0271,south,45-59,mobile,mainstream
H0272,south,45-59,mobile,value
H0273,south,45-59,mobile,mainstream
H0274,south,45-59,mobile,premium
H0275,south,45-59,mobile,value
H0276,south,45-59,mobile,value
H0277,south,45-59,mobile,mainstream
H0278,south,45-59,mobile,value
H0279,south,45-59,desktop,value
H0280,south,45-59,desktop,premium
H0281,south,45-59,desktop,premium
H0282,south,45-59,desktop,value
H0283,south,45-59,desktop,value
H0284,south,45-59,desktop,value
H0285,south,45-59,desktop,value
H0286,south,45-59,desktop,mainstream
H0287,south,45-59,desktop,mainstream
H0288,south,45-59,tablet,premium
H0289,south,45-59,tablet,mainstream
H0290,south,45-59,tablet,value
