member_ref,region,age_band,gender,plan_tier
M0000,northeast,18-29,female,premium
M0001,midwest,18-29,male,basic
M0002,south,18-29,nonbinary,standard
M0003,west,18-29,female,standard
M0004,northeast,30-44,male,premium
M0005,midwest,30-44,nonbinary,standard
M0006,south,30-44,female,basic
M0007,west,30-44,male,basic
M0008,northeast,45-59,nonbinary,basic
M0009,midwest,45-59,female,basic
M0010,south,45-59,male,basic
M0011,west,45-59,nonbinary,basic
M0012,northeast,60+,female,standard
M0013,midwest,60+,male,basic
M0014,south,60+,nonbinary,standard
M0015,west,60+,female,standard
M0016,northeast,18-29,male,standard
M0017,midwest,18-29,nonbinary,premium
M0018,south,18-29,female,standard
M0019,west,18-29,male,standard
M0020,northeast,30-44,nonbinary,standard
M0021,midwest,30-44,female,basic
M0022,south,30-44,male,basic
M0023,west,30-44,nonbinary,basic
M0024,northeast,45-59,female,standard
M0025,midwest,45-59,male,standard
M0026,south,45-59,nonbinary,standard
M0027,west,45-59,female,basic
M0028,northeast,60+,male,standard
M0029,midwest,60+,nonbinary,standard
M0030,south,60+,female,basic
M0031,west,60+,male,standard
M0032,northeast,18-29,nonbinary,premium
M0033,midwest,18-29,female,basic
M0034,south,18-29,male,standard
M0035,west,18-29,nonbinary,standard
M0036,northeast,30-44,female,premium
M0037,midwest,30-44,male,basic
M0038,south,30-44,nonbinary,premium
M0039,west,30-44,female,premium
M0040,northeast,45-59,male,premium
M0041,midwest,45-59,nonbinary,basic
M0042,south,45-59,female,premium
M0043,west,45-59,male,basic
M0044,northeast,60+,nonbinary,standard
M0045,midwest,60+,female,standard
M0046,south,60+,male,basic
M0047,west,60+,nonbinary,premium
M0048,northeast,18-29,female,basic
M0049,midwest,18-29,male,premium
M0050,south,18-29,nonbinary,basic
M0051,west,18-29,female,premium
M0052,northeast,30-44,male,basic
M0053,midwest,30-44,nonbinary,basic
M0054,south,30-44,female,basic
M0055,west,30-44,male,standard
M0056,northeast,45-59,nonbinary,premium
M0057,midwest,45-59,female,premium
M0058,south,45-59,male,standard
M0059,west,45-59,nonbinary,standard
M0060,northeast,60+,female,basic
M0061,midwest,60+,male,premium
M0062,south,60+,nonbinary,standard
M0063,west,60+,female,basic
M0064,northeast,18-29,male,standard
M0065,midwest,18-29,nonbinary,basic
M0066,south,18-29,female,standard
M0067,west,18-29,male,premium
M0068,northeast,30-44,nonbinary,standard
M0069,midwest,30-44,female,premium
M0070,south,30-44,male,basic
M0071,west,30-44,nonbinary,standard
M0072,northeast,45-59,female,premium
M0073,midwest,45-59,male,premium
M0074,south,45-59,nonbinary,basic
M0075,west,45-59,female,premium
M0076,northeast,60+,male,basic
M0077,midwest,60+,nonbinary,standard
M0078,south,60+,female,premium
M0079,west,60+,male,basic
M0080,northeast,18-29,nonbinary,standard
M0081,midwest,18-29,female,premium
M0082,south,18-29,male,basic
M0083,west,18-29,nonbinary,standard
M0084,northeast,30-44,female,standard
M0085,midwest,30-44,male,basic
M0086,south,30-44,nonbinary,premium
M0087,west,30-44,female,standard
M0088,northeast,45-59,male,basic
M0089,midwest,45-59,nonbinary,premium
M0090,south,45-59,female,premium
M0091,west,45-59,male,premium
M0092,northeast,60+,nonbinary,premium
M0093,midwest,60+,female,premium
M0094,south,60+,male,standard
M0095,west,60+,nonbinary,standard
M0096,northeast,18-29,female,premium
M0097,midwest,18-29,male,premium
M0098,south,18-29,nonbinary,basic
M0099,west,18-29,female,premium
M0100,northeast,30-44,male,premium
M0101,midwest,30-44,nonbinary,premium
M0102,south,30-44,female,standard
M0103,west,30-44,male,standard
M0104,northeast,45-59,nonbinary,standard
M0105,midwest,45-59,female,basic
M0106,south,45-59,male,standard
M0107,west,45-59,nonbinary,premium
M0108,northeast,60+,female,basic
M0109,midwest,60+,male,basic
M0110,south,60+,nonbinary,standard
M0111,west,60+,female,basic
M0112,northeast,18-29,male,standard
M0113,midwest,18-29,nonbinary,standard
M0114,south,18-29,female,premium
M0115,west,18-29,male,premium
M0116,northeast,30-44,nonbinary,basic
M0117,midwest,30-44,female,basic
M0118,south,30-44,male,premium
M0119,west,30-44,nonbinary,standard
M0120,northeast,45-59,female,basic
M0121,midwest,45-59,male,premium
M0122,south,45-59,nonbinary,standard
M0123,west,45-59,female,premium
M0124,northeast,60+,male,standard
M0125,midwest,60+,nonbinary,basic
M0126,south,60+,female,basic
M0127,west,60+,male,basic
M0128,northeast,18-29,nonbinary,basic
M0129,midwest,18-29,female,standard
M0130,south,18-29,male,standard
M0131,west,18-29,nonbinary,premium
M0132,northeast,30-44,female,standard
M0133,midwest,30-44,male,standard
M0134,south,30-44,nonbinary,basic
M0135,west,30-44,female,basic
M0136,northeast,45-59,male,premium
M0137,midwest,45-59,nonbinary,basic
M0138,south,45-59,female,premium
M0139,west,45-59,male,basic
M0140,northeast,60+,nonbinary,standard
M0141,midwest,60+,female,standard
M0142,south,60+,male,premium
M0143,west,60+,nonbinary,basic
M0144,northeast,18-29,female,premium
M0145,midwest,18-29,male,basic
M0146,south,18-29,nonbinary,standard
M0147,west,18-29,female,basic
M0148,northeast,30-44,male,premium
M0149,midwest,30-44,nonbinary,basic
M0150,south,30-44,female,premium
M0151,west,30-44,male,premium
M0152,northeast,45-59,nonbinary,standard
M0153,midwest,45-59,female,premium
M0154,south,45-59,male,basic
M0155,west,45-59,nonbinary,premium
M0156,northeast,60+,female,premium
M0157,midwest,60+,male,standard
M0158,south,60+,nonbinary,basic
M0159,west,60+,female,premium
M0160,northeast,18-29,male,premium
M0161,midwest,18-29,nonbinary,standard
M0162,south,18-29,female,standard
M0163,west,18-29,male,basic
M0164,northeast,30-44,nonbinary,standard
M0165,midwest,30-44,female,basic
M0166,south,30-44,male,basic
M0167,west,30-44,nonbinary,basic
M0168,northeast,45-59,female,premium
M0169,midwest,45-59,male,premium
M0170,south,45-59,nonbinary,standard
M0171,west,45-59,female,standard
M0172,northeast,60+,male,basic
M0173,midwest,60+,nonbinary,basic
M0174,south,60+,female,premium
M0175,west,60+,male,basic
M0176,northeast,18-29,nonbinary,premium
M0177,midwest,18-29,female,premium
M0178,south,18-29,male,standard
M0179,west,18-29,nonbinary,premium
M0180,northeast,30-44,female,standard
M0181,midwest,30-44,male,premium
M0182,south,30-44,nonbinary,premium
M0183,west,30-44,female,premium
M0184,northeast,45-59,male,premium
M0185,midwest,45-59,nonbinary,basic
M0186,south,45-59,female,premium
M0187,west,45-59,male,basic
M0188,northeast,60+,nonbinary,standard
M0189,midwest,60+,female,basic
M0190,south,60+,male,premium
M0191,west,60+,nonbinary,premium
M0192,northeast,18-29,female,basic
M0193,midwest,18-29,male,basic
M0194,south,18-29,nonbinary,standard
M0195,west,18-29,female,basic
M0196,northeast,30-44,male,standard
M0197,midwest,30-44,nonbinary,standard
M0198,south,30-44,female,basic
M0199,west,30-44,male,basic
M0200,northeast,45-59,nonbinary,premium
M0201,midwest,45-59,female,standard
M0202,south,45-59,male,standard
M0203,west,45-59,nonbinary,basic
M0204,northeast,60+,female,standard
M0205,midwest,60+,male,standard
M0206,south,60+,nonbinary,standard
M0207,west,60+,female,standard
M0208,northeast,18-29,male,premium
M0209,midwest,18-29,nonbinary,premium
M0210,south,18-29,female,standard
M0211,west,18-29,male,premium
M0212,northeast,30-44,nonbinary,basic
M0213,midwest,30-44,female,premium
M0214,south,30-44,male,basic
M0215,west,30-44,nonbinary,standard
M0216,northeast,45-59,female,standard
M0217,midwest,45-59,male,premium
M0218,south,45-59,nonbinary,standard
M0219,west,45-59,female,standard
M0220,northeast,60+,male,standard
M0221,midwest,60+,nonbinary,basic
M0222,south,60+,female,basic
M0223,west,60+,male,premium
M0224,northeast,18-29,nonbinary,basic
M0225,midwest,18-29,female,basic
M0226,south,18-29,male,standard
M0227,west,18-29,nonbinary,basic
M0228,northeast,30-44,female,basic
M0229,midwest,30-44,male,premium
M0230,south,30-44,nonbinary,basic
M0231,west,30-44,female,premium
M0232,northeast,45-59,male,basic
M0233,midwest,45-59,nonbinary,premium
M0234,south,45-59,female,standard
M0235,west,45-59,male,premium
M0236,northeast,60+,nonbinary,basic
M0237,midwest,60+,female,standard
M0238,south,60+,male,standard
M0239,west,60+,nonbinary,standard
